id,date,state,city_county,address,killed,injured,Operations,full_address,lon,lat,census_block
480327,2013-02-11T00:00:00Z,Delaware,Wilmington,500 North King St,3,2,N/A,"500 North King St,Wilmington,Delaware",-75.54858779999999,39.740695,100030028002000
491729,2013-08-10T00:00:00Z,Delaware,Wilmington,1200 block of Second Street,0,4,N/A,"1200 block of Second Street,Wilmington,Delaware",-75.5641124,39.7435325,100030022002004
495374,2013-12-07T00:00:00Z,Delaware,Wilmington,3421 Kirkwood Hwy,0,4,N/A,"3421 Kirkwood Hwy,Wilmington,Delaware",-75.632584,39.736051,100030120002027
92357,2014-01-01T00:00:00Z,Delaware,Wilmington,1400 block of West 3rd,1,0,N/A,"1400 block of West 3rd,Wilmington,Delaware",-75.56676399999999,39.74572,100030023001007
93013,2014-01-04T00:00:00Z,Delaware,Wilmington,2400 block of Carter Street,1,0,N/A,"2400 block of Carter Street,Wilmington,Delaware",-75.53556979999999,39.7527756,100030006021019
93223,2014-01-04T00:00:00Z,Delaware,Wilmington,2100 block of Washington Street,0,1,N/A,"2100 block of Washington Street,Wilmington,Delaware",-75.542683,39.7550082,100030005003002
93215,2014-01-05T00:00:00Z,Delaware,Wilmington,NA,0,2,N/A,"NA,Wilmington,Delaware",-75.5483909,39.744655,100030028001069
94439,2014-01-06T00:00:00Z,Delaware,Dover,McDaniel Dr,0,1,N/A,"McDaniel Dr,Dover,Delaware",-75.52237800000002,39.132235,100010416001008
94408,2014-01-07T00:00:00Z,Delaware,Wilmington,1500 block of W 5th St,0,1,N/A,"1500 block of W 5th St,Wilmington,Delaware",-75.56660099999999,39.74739,100030023001002
94419,2014-01-07T00:00:00Z,Delaware,Wilmington,200 block of N Broom St,0,1,N/A,"200 block of N Broom St,Wilmington,Delaware",-75.5666289,39.7446904,100030022003002
94431,2014-01-07T00:00:00Z,Delaware,Wilmington,1200 block of Forrest Drive,0,0,N/A,"1200 block of Forrest Drive,Wilmington,Delaware",-75.5983577,39.7165669,100030129003015
95594,2014-01-09T00:00:00Z,Delaware,Magnolia,200 block of Lambert Dr,0,0,N/A,"200 block of Lambert Dr,Magnolia,Delaware",-75.5381481,39.0653742,100010422052026
109204,2014-01-10T00:00:00Z,Delaware,Wilmington,NA,0,1,N/A,"NA,Wilmington,Delaware",-75.5483909,39.744655,100030028001069
95581,2014-01-13T00:00:00Z,Delaware,Felton,US 13 and Walnut Shade Rd,0,0,N/A,"US 13 and Walnut Shade Rd,Felton,Delaware",-75.5534929,39.0712555,100010421002066
97636,2014-01-13T00:00:00Z,Delaware,Wilmington,1300 block of Vandever Ave.,0,1,N/A,"1300 block of Vandever Ave.,Wilmington,Delaware",-75.5308347,39.7455635,100030030021005
98530,2014-01-13T00:00:00Z,Delaware,Dover,2 Capitol Ave,0,0,N/A,"2 Capitol Ave,Dover,Delaware",-75.4999626,39.1443715,100010412003013
96780,2014-01-14T00:00:00Z,Delaware,Millsboro,28000 block of Harmons Hill Rd,2,0,N/A,"28000 block of Harmons Hill Rd,Millsboro,Delaware",-75.2479826,38.6550638,100050507012002
97886,2014-01-16T00:00:00Z,Delaware,Wilmington,26th and Monroe Streets,0,0,N/A,"26th and Monroe Streets,Wilmington,Delaware",-75.5398958,39.7597803,100030003003023
98555,2014-01-16T00:00:00Z,Delaware,Wilmington,900 block of E. 12th Street,0,0,N/A,"900 block of E. 12th Street,Wilmington,Delaware",-75.53665769999999,39.7436365,100030030021019
98545,2014-01-17T00:00:00Z,Delaware,Wilmington,200 block of N. Van Buren Street,0,0,N/A,"200 block of N. Van Buren Street,Wilmington,Delaware",-75.5630101,39.7431014,100030022002002
